date_time,category,account,amount,tags,Month,Day_of_Week,Is_Weekend
2025-11-30,Health,acct_1,114.0,tag_1,November,Sunday,True
2025-11-29,Food,acct_1,5.0,tag_1,November,Saturday,True
2025-11-27,Public transport,acct_2,1.0,tag_1,November,Thursday,False
2025-11-27,Cafe,acct_1,10.0,tag_1,November,Thursday,False
2025-11-26,Cafe,acct_3,2.0,tag_1,November,Wednesday,False
2025-11-26,Public transport,acct_2,1.0,tag_1,November,Wednesday,False
2025-11-25,Public transport,acct_2,1.0,tag_1,November,Tuesday,False
2025-11-25,Cafe,acct_1,11.0,tag_1,November,Tuesday,False
2025-11-25,Taxi,acct_1,18.0,tag_1,November,Tuesday,False
2025-11-24,Food,acct_1,9.0,tag_1,November,Monday,False
2025-11-24,Public transport,acct_2,1.0,tag_1,November,Monday,False
2025-11-24,Cafe,acct_3,4.0,tag_1,November,Monday,False
2025-11-22,Food,acct_1,11.0,tag_1,November,Saturday,True
2025-11-21,Public transport,acct_2,2.0,tag_1,November,Friday,False
2025-11-21,Cafe,acct_1,11.0,tag_1,November,Friday,False
2025-11-21,Public transport,acct_2,1.0,tag_1,November,Friday,False
2025-11-20,Public transport,acct_2,1.0,tag_1,November,Thursday,False
2025-11-20,Public transport,acct_2,2.0,tag_1,November,Thursday,False
2025-11-20,Cafe,acct_1,9.0,tag_1,November,Thursday,False
2025-11-20,Cafe,acct_3,8.0,tag_1,November,Thursday,False
2025-11-19,Public transport,acct_2,1.0,tag_1,November,Wednesday,False
2025-11-18,Gifts,acct_1,79.0,tag_1,November,Tuesday,False
2025-11-18,Public transport,acct_2,1.0,tag_1,November,Tuesday,False
2025-11-18,Cafe,acct_3,2.0,tag_1,November,Tuesday,False
2025-11-18,Cafe,acct_1,5.0,tag_1,November,Tuesday,False
2025-11-18,Taxi,acct_1,9.0,tag_1,November,Tuesday,False
2025-11-18,Cafe,acct_3,3.0,tag_1,November,Tuesday,False
2025-11-17,Public transport,acct_2,1.0,tag_1,November,Monday,False
2025-11-17,Cafe,acct_3,3.0,tag_1,November,Monday,False
2025-11-17,Cafe,acct_3,2.0,tag_1,November,Monday,False
2025-11-16,Public transport,acct_2,2.0,tag_1,November,Sunday,True
2025-11-15,Food,acct_3,3.0,tag_1,November,Saturday,True
2025-11-15,Public transport,acct_2,1.0,tag_1,November,Saturday,True
2025-11-15,Cafe,acct_3,3.0,tag_1,November,Saturday,True
2025-11-13,Public transport,acct_2,1.0,tag_1,November,Thursday,False
2025-11-13,Loan given,acct_1,23.0,tag_1,November,Thursday,False
2025-11-13,Cafe,acct_1,4.0,tag_1,November,Thursday,False
2025-11-13,Public transport,acct_2,2.0,tag_1,November,Thursday,False
2025-11-13,Health,acct_1,36.0,tag_1,November,Thursday,False
2025-11-12,Cafe,acct_1,10.0,tag_1,November,Wednesday,False
2025-11-12,Public transport,acct_2,1.0,tag_1,November,Wednesday,False
2025-11-11,Public transport,acct_2,1.0,tag_1,November,Tuesday,False
2025-11-11,Cafe,acct_1,5.0,tag_1,November,Tuesday,False
2025-11-10,Public transport,acct_2,1.0,tag_1,November,Monday,False
2025-11-10,Cafe,acct_1,6.0,tag_1,November,Monday,False
2025-11-07,Cafe,acct_1,11.0,tag_1,November,Friday,False
2025-11-07,Leisure,acct_1,35.0,tag_1,November,Friday,False
2025-11-06,Cafe,acct_1,31.0,tag_1,November,Thursday,False
2025-11-05,Clothes,acct_1,299.0,tag_1,November,Wednesday,False
2025-11-05,Cafe,acct_3,3.0,tag_1,November,Wednesday,False
2025-11-05,Cafe,acct_1,12.0,tag_1,November,Wednesday,False
2025-11-05,Public transport,acct_2,1.0,tag_1,November,Wednesday,False
2025-11-04,Cafe,acct_3,2.0,tag_1,November,Tuesday,False
2025-11-04,Public transport,acct_2,1.0,tag_1,November,Tuesday,False
2025-11-04,Food,acct_3,2.0,tag_1,November,Tuesday,False
2025-11-03,Leisure,acct_3,38.0,tag_1,November,Monday,False
2025-11-03,Cafe,acct_3,2.0,tag_1,November,Monday,False
2025-11-03,Public transport,acct_2,1.0,tag_1,November,Monday,False
2025-11-03,Cafe,acct_1,11.0,tag_1,November,Monday,False
2025-11-03,Cafe,acct_3,3.0,tag_1,November,Monday,False
2025-11-01,Public transport,acct_2,1.0,tag_1,November,Saturday,True
2025-11-01,Food,acct_3,2.0,tag_1,November,Saturday,True
2025-10-31,Public transport,acct_2,1.0,tag_1,October,Friday,False
2025-10-31,Gifts,acct_3,30.0,tag_1,October,Friday,False
2025-10-30,Health,acct_3,1.0,tag_1,October,Thursday,False
2025-10-30,Public transport,acct_2,1.0,tag_1,October,Thursday,False
2025-10-29,Public transport,acct_2,2.0,tag_1,October,Wednesday,False
2025-10-29,Leisure,acct_1,20.0,tag_1,October,Wednesday,False
2025-10-29,Leisure,acct_1,17.0,tag_1,October,Wednesday,False
2025-10-29,Food,acct_3,1.0,tag_1,October,Wednesday,False
2025-10-29,Food,acct_1,22.0,tag_1,October,Wednesday,False
2025-10-29,Cafe,acct_3,1.0,tag_1,October,Wednesday,False
2025-10-29,Cafe,acct_1,5.0,tag_1,October,Wednesday,False
2025-10-28,Public transport,acct_3,1.0,tag_1,October,Tuesday,False
2025-10-28,Food,acct_3,1.0,tag_1,October,Tuesday,False
2025-10-28,Public transport,acct_2,2.0,tag_1,October,Tuesday,False
2025-10-28,Bought for myself,acct_1,64.0,tag_1,October,Tuesday,False
2025-10-28,Cafe,acct_1,5.0,tag_1,October,Tuesday,False
2025-10-28,Public transport,acct_2,1.0,tag_1,October,Tuesday,False
2025-10-28,Food,acct_3,2.0,tag_1,October,Tuesday,False
2025-10-26,Public transport,acct_1,5.0,tag_1,October,Sunday,True
2025-10-26,Health,acct_1,128.0,tag_1,October,Sunday,True
2025-10-26,Gifts,acct_1,44.0,tag_1,October,Sunday,True
2025-10-26,Food,acct_1,6.0,tag_1,October,Sunday,True
2025-10-25,Food,acct_1,4.0,tag_1,October,Saturday,True
